slug,name,tagline,url,category,output_type,output_detail,exports_source,exports_source_detail,submits_for_you,price_free,price_from_usd,price_note,review_verdict,review_summary,risk_guidelines,rank,updated_at
rork,Rork,Chat-to-app builder aimed squarely at the App Store.,https://rork.com/,ai-mobile,react-native-expo,"React Native on Expo. A second product, Rork Max, launched February 2026 and generates native Swift for the Apple platforms instead.",yes,"Reported to sync to GitHub and export the React Native source at no cost, including as the fallback when the one-click publish fails.",builder-assisted,true,20,"Read off rork.com/pricing in a browser on 2026-08-15: a $0 tier that is design mode only (35 design credits/month, max 5/day), Rork Pro at $20/mo for Expo, Android and web with 100 credits/month, and Rork Max at $200/mo for iOS, iPad and Apple Watch with 1,000 credits/month. The four-plan $25–$200 ladder a January third-party breakdown reported is no longer what the vendor publishes.",ships-with-caveats,"Produces a real Expo binary and markets App Store shipping as the headline outcome, and the export path means a failed one-click publish is recoverable rather than terminal. The caveat is that the strongest claims here are the vendor’s own marketing and third-party reviews rather than a submission-record document — and the Rork Max Swift path is new enough as of August 2026 that it has no review history to read.","[""4.2""]",1,2026-09-04T14:09:55.863+00:00
vibecode,Vibecode,Prompt-to-app with a documented App Store hand-off.,https://www.vibecodeapp.com/,ai-mobile,react-native-expo,React Native on Expo. Builds are compiled through Expo Launch rather than on your machine.,unknown,"The deployment documentation does not mention source export, a GitHub push, or code download. Treat code portability as unestablished until the vendor documents it.",you-submit,,20,"Plus is $20 /month, and that tier is the one carrying ""App store submission"". The figure is only readable in a rendered browser: the pricing page serves its plan grid client-side, so the delivered HTML carries the monthly/annual toggle and the wholesale-credit explanation and no tier figure at all. Read with a real browser profile on 2026-08-15.",ships,"The clearest documented path in the catalogue. Vibecode’s own deployment page requires you to hold the $99/year Apple Developer Program membership and sign the agreements yourself, which is exactly the arrangement guideline 4.2.6 asks for — the app is submitted by the party whose content it is, not by the generator. It also ships a preflight check aimed at the mechanical rejection causes (icons, metadata, configuration).","[""4.2""]",2,2026-09-04T14:09:55.865+00:00
a0-dev,a0.dev,YC-backed React Native generator with a hands-on support path.,https://a0.dev/,ai-mobile,react-native-expo,React Native previewed through Expo Go. Native modules that are not bundled into the preview client will not run in preview.,unknown,No source-export policy was found in material that could be read. Unestablished.,builder-assisted,false,20,"Paid from $20/month (Pro, or $204/year), rising through Pro 250 at $50, Pro 500 at $100, Pro 1000 at $200, Pro 1500 at $290, Pro 2500 at $450 and Pro 5000 at $800. A separate Max plan sits at $200/month ($2,040/year) with a 1,250 daily limit. The tiers differ by daily and monthly generation limits rather than by feature. No free plan appears anywhere in the vendor’s own live plan list, so the free column here is a No rather than an unknown.",unknown,"No document, listing or dated report was found that establishes what happens when an a0.dev app is submitted. The team is described as helping users get to the App Store, which is an intention rather than a record. This row stays unknown until there is something citable — a builder with no evidence is not the same as a builder with bad evidence, and the grid should not blur them.",[],3,2026-09-04T14:09:55.865+00:00
replit,Replit Mobile,Agent-built Expo apps with a guided submission walkthrough.,https://replit.com/mobile-apps,ai-mobile,react-native-expo,"React Native and Expo, one codebase for both platforms. Device testing goes through Expo Go via QR code.",yes,The project is a normal repository on Replit and can be taken elsewhere.,builder-assisted,true,20,"A free Starter tier (daily agent credits, one published project), then Replit Core at $20/month — $18/month if billed annually — and Replit Pro above it at $100 of monthly credit. Re-read on replit.com/pricing on 2026-08-15; the earlier $25 Core figure is no longer on the page. The paid tiers are denominated in monthly credit, not in seats or apps.",ships,"Replit documents the arrangement that matters: it prepares the app and walks you through submission, but the Apple Developer account is yours and the binary goes through ordinary App Review. That keeps the submitter and the content provider the same party, which is the hinge guideline 4.2.6 turns on. The mobile product is new as of early 2026, so there is a documented path but not yet a long public record of outcomes.","[""4.2""]",4,2026-09-04T14:09:55.865+00:00
bolt-new,Bolt.new,Generates the Expo project; the build happens on your machine.,https://bolt.new/,ai-mobile,react-native-expo,"React Native and Expo source. Bolt runs in a browser sandbox, so nothing native is compiled inside the product.",yes,"Downloading the code is not a bonus feature here — it is a required step, because the build cannot happen in the browser.",you-submit,true,25,"Free tier at $0 (300K tokens daily, 1M monthly, Bolt branding), then Pro at $25/month billed monthly and Teams at $30 per member per month. Yearly billing is advertised as saving up to 28%. Note that the EAS build the last mile needs is billed separately by Expo.",ships-with-caveats,"Bolt’s own documentation is unusually plain about the shape of this: you download the code, open it in an editor, run `eas build --platform ios --auto-submit` yourself, then finish in App Store Connect. Nothing about that blocks review — the resulting binary is an ordinary Expo build submitted under your own account — but anyone expecting a button inside the product will not find one, and the last mile needs a working local toolchain.","[""4.2""]",5,2026-09-04T14:09:55.865+00:00
lovable,Lovable,Superb at web apps. Does not produce a mobile binary.,https://lovable.dev/,ai-web,web-only,"Web applications, which can be made mobile-friendly. Lovable states plainly that it does not generate React Native projects.",yes,Projects can be pushed to GitHub as ordinary web codebases.,not-applicable,true,25,"Free at $0/month, then Pro at $25/month with 100 monthly credits. Both figures are readable only in a rendered browser — the delivered HTML contains the plan headings and no amount. Read with a real browser profile on 2026-08-15.",blocked,"Not a mark against Lovable — it is a statement about one question it never set out to answer. Lovable’s own FAQ says it builds web applications and does not generate React Native. Reaching the App Store therefore means wrapping the web app with something like Capacitor, and a wrapped web app is precisely the shape guideline 4.2 was written to filter. If the app also sells subscriptions through Stripe, guideline 3.1.1 lands on top of that. If you want an iOS binary, start somewhere else.","[""4.2"",""3.1.1""]",6,2026-09-04T14:09:55.865+00:00
flutterflow,FlutterFlow,Visual Flutter builder with real code export.,https://flutterflow.io/,nocode-mobile,flutter,"Flutter, compiled to genuinely native iOS and Android binaries.",yes,Code export and a GitHub push are documented product features. Note that exported code does not carry FlutterFlow-hosted services with it.,builder-assisted,true,39,"Free tier at $0 for building and testing, then Basic at $39/month — the tier that unlocks source-code and APK download. Growth is $80 for the first seat and $55 for the second; Business is $150 for the first seat and $85 for seats 2–5. Annual billing is advertised at roughly 25% off.",ships,"The most established row here by age. Flutter output is compiled native rather than wrapped web, so guideline 4.2 has nothing structural to catch, and the export path means you are never locked out of your own binary. The submission is made on your own Apple Developer account. The usual rejections reported against builders of this type are the ordinary ones — thin functionality, missing privacy policy, generic metadata — which are properties of the app rather than of the tool.","[""4.2""]",7,2026-09-04T14:09:55.865+00:00
adalo,Adalo,"Long-running no-code mobile builder, publishes under your account.",https://www.adalo.com/,nocode-mobile,react-native,React Native apps published to both stores.,no,No source export. The app lives on the platform; leaving means rebuilding.,builder-assisted,true,36,"A free plan builds and fully tests an app (unlimited test apps, up to 500 records each) but does not publish; store publishing starts at $36/month on Starter. Adalo states it charges no usage-based or per-action metering on top. The Apple Developer Program ($99/year) and Google Play registration ($25 once) are separate and unavoidable.",ships-with-caveats,"Adalo apps do reach the App Store, and Adalo publishes its own guidance on the rejections its users hit — which is more transparency than most of this catalogue offers. The named causes are guideline 4.2 minimum functionality, a missing privacy policy link, and generic metadata. The caveat that matters is the absence of an export: if a submission stalls, you cannot take the binary elsewhere and finish it yourself.","[""4.2"",""4.2.6""]",8,2026-09-04T14:09:55.865+00:00
thunkable,Thunkable,Publishes straight to the store — and can unpublish too.,https://thunkable.com/,nocode-mobile,react-native,Native builds produced by the platform.,partial,Code export is limited and deep customisation is reported as difficult.,builder-submits,true,18,"Free tier (2,000 AI tokens, 3 public projects, 5 screens each), then Accelerator at $18/month billed yearly or $19 billed monthly. Publishing a live app is not on either of those: the first tier carrying ""1 Live Published App"" is Builder at $37/month yearly, $59 monthly, and Advanced at $99 yearly / $189 monthly lifts the published-app cap.",ships-with-caveats,"Thunkable will publish to the App Store for you, which is convenient right up until it is the problem: a generation service submitting on a client’s behalf is the arrangement guideline 4.2.6 names directly. The sharper practical risk is reported continuity — apps are unpublished from the store when a subscription lapses, which makes your listing a function of your billing status.","[""4.2.6"",""4.2""]",9,2026-09-04T14:09:55.865+00:00
draftbit,Draftbit,Visual React Native builder built around code export.,https://draftbit.com/,nocode-mobile,react-native,"React Native, designed visually and exported as a real project.",yes,Exporting the React Native source for custom development is the stated point of the product.,you-submit,true,12,"A ""Free Forever"" tier at $0 (one sandbox at a time, 1-click publishing to the web), then Standard at $12/month, Pro at $24 and Team at $120. Editor seats are extra — $8/seat on Standard, $16 on Pro and Team. Yearly billing is advertised at 20% off.",ships-with-caveats,"Structurally the safest position on this grid: you leave with the React Native source and submit it yourself, so nothing about the tool is between you and review. The caveat is evidentiary rather than technical — the sources found were comparison articles rather than Draftbit’s own submission documentation, and no dated report of a submission outcome surfaced.","[""4.2""]",10,2026-09-04T14:09:55.865+00:00
