slug,name,vendor,homepage,pricing_url,docs_url,repo,ecosystem,stack,license,license_source,open_source,pricing_model,price_min_usd,price_max_usd,price_evidence,price_checked_at,price_points,price_unmeasurable,last_commit_at,last_release_at,last_release_tag,releases_12mo,stars,forks,open_issues,contributors,includes,support_model,support_source,docs_pages,docs_kind,evidence_level,active,archived,logo_url,summary,summary_source,changelog_url,changelog_source,edition_of,edition_label,refreshed_at
apptension-saas-boilerplate,SaaS Boilerplate,Apptension,https://apptension.com/saas-boilerplate,,https://github.com/apptension/saas-boilerplate#readme,apptension/saas-boilerplate,Django,"[""django"",""python"",""react"",""postgres"",""stripe"",""aws"",""docker""]",MIT,https://github.com/apptension/saas-boilerplate,true,free,0,0,,,[],false,2026-09-02T11:37:31+00:00,2026-03-05T20:46:36+00:00,5.0.0,1,2991,423,71,35,"{""ci"":{""value"":true,""source"":""file: .github/workflows/actions/deploy/action.yml""},""auth"":{""value"":true,""source"":""file: packages/internal/docs/docs/introduction/features/auth.mdx""},""i18n"":{""value"":true,""source"":""file: packages/webapp-libs/webapp-core/src/translations/locales.json""},""admin"":{""value"":true,""source"":""file: packages/backend/apps/content/admin.py""},""roles"":{""value"":true,""source"":""file: packages/backend/apps/backup/permissions.py""},""teams"":{""value"":true,""source"":""file: packages/webapp-libs/webapp-api-client/src/constants/tenant.types.ts""},""tests"":{""value"":true,""source"":""dependency: jest""},""billing"":{""value"":true,""source"":""dependency: dj-stripe""},""blog_cms"":{""value"":true,""source"":""file: packages/backend/apps/content/__init__.py""},""webhooks"":{""value"":true,""source"":""file: packages/backend/apps/finances/webhooks.py""},""file_uploads"":{""value"":true,""source"":""dependency: @aws-sdk/client-s3""},""social_login"":{""value"":true,""source"":""dependency: social-auth-app-django""},""background_jobs"":{""value"":true,""source"":""dependency: celery""},""transactional_email"":{""value"":true,""source"":""dependency: nodemailer""}}",GitHub issues,https://github.com/apptension/saas-boilerplate/issues,,readme,hands_on,true,false,https://github.com/apptension.png?size=160,"SaaS Boilerplate - Open Source and free SaaS stack that lets you build SaaS products faster in React, Django and AWS. Focus on essential business logic instead of coding repeatable features!",https://github.com/apptension/saas-boilerplate,,,,,2026-09-04T05:40:13.656+00:00
async-labs-saas,Async Labs SaaS Boilerplate,Async Labs,https://github.com/async-labs/saas,,https://github.com/async-labs/saas#readme,async-labs/saas,Next.js,"[""nextjs"",""react"",""mongodb"",""express"",""stripe""]",MIT,https://github.com/async-labs/saas,true,free,0,0,,,[],false,2025-03-21T18:07:06+00:00,,v2.0.0,0,4504,744,20,9,"{""ci"":{""value"":false,""source"":""not found in repo tree or manifests""},""auth"":{""value"":true,""source"":""dependency: passport""},""i18n"":{""value"":false,""source"":""not found in repo tree or manifests""},""admin"":{""value"":false,""source"":""not found in repo tree or manifests""},""roles"":{""value"":false,""source"":""not found in repo tree or manifests""},""teams"":{""value"":true,""source"":""file: book/10-begin/api/server/api/team-leader.ts""},""tests"":{""value"":true,""source"":""dependency: jest""},""billing"":{""value"":true,""source"":""dependency: stripe""},""blog_cms"":{""value"":true,""source"":""file: book/10-begin/app/components/posts/PostContent.tsx""},""webhooks"":{""value"":false,""source"":""not found in repo tree or manifests""},""file_uploads"":{""value"":false,""source"":""not found in repo tree or manifests""},""social_login"":{""value"":false,""source"":""not found in repo tree or manifests""},""background_jobs"":{""value"":false,""source"":""not found in repo tree or manifests""},""transactional_email"":{""value"":false,""source"":""not found in repo tree or manifests""}}",GitHub issues,https://github.com/async-labs/saas/issues,,readme,documented,true,false,https://github.com/async-labs.png?size=160,"Build your own SaaS business with SaaS boilerplate. Productive stack: React, Material-UI, Next, MobX, WebSockets, Express, Node, Mongoose, MongoDB. Written with TypeScript.",https://github.com/async-labs/saas,,,,,2026-09-04T05:41:04.622+00:00
basejump,Basejump,Usebasejump,https://usebasejump.com,,https://usebasejump.com/docs,usebasejump/basejump,Next.js,"[""nextjs"",""react"",""supabase"",""postgres"",""stripe""]",MIT,https://github.com/usebasejump/basejump,true,free,0,0,,,[],false,2026-08-06T15:51:55+00:00,2024-01-14T18:00:05+00:00,v2.0.3,0,940,84,28,5,"{""ci"":{""value"":true,""source"":""file: .github/workflows/setup-testing.sql""},""auth"":{""value"":false,""source"":""not found in repo tree or manifests""},""i18n"":{""value"":false,""source"":""not found in repo tree or manifests""},""admin"":{""value"":false,""source"":""not found in repo tree or manifests""},""roles"":{""value"":false,""source"":""not found in repo tree or manifests""},""teams"":{""value"":false,""source"":""not found in repo tree or manifests""},""tests"":{""value"":true,""source"":""file: .github/workflows/tests.yml""},""billing"":{""value"":true,""source"":""file: supabase/functions/billing-functions/index.ts""},""blog_cms"":{""value"":false,""source"":""not found in repo tree or manifests""},""webhooks"":{""value"":false,""source"":""not found in repo tree or manifests""},""file_uploads"":{""value"":false,""source"":""not found in repo tree or manifests""},""social_login"":{""value"":false,""source"":""not found in repo tree or manifests""},""background_jobs"":{""value"":false,""source"":""not found in repo tree or manifests""},""transactional_email"":{""value"":false,""source"":""not found in repo tree or manifests""}}",GitHub issues,https://github.com/usebasejump/basejump/issues,16,site,documented,true,false,https://github.com/usebasejump.png?size=160,"Teams, personal accounts, permissions and billing for your Supabase app",https://github.com/usebasejump/basejump,,,,,2026-09-04T05:40:44.939+00:00
boxyhq-saas-starter,BoxyHQ SaaS Starter Kit,BoxyHQ,https://github.com/boxyhq/saas-starter-kit,,https://github.com/boxyhq/saas-starter-kit#readme,boxyhq/saas-starter-kit,Next.js,"[""nextjs"",""react"",""prisma"",""postgres"",""stripe"",""saml""]",Apache-2.0,https://github.com/boxyhq/saas-starter-kit,true,free,0,0,,,[],false,2026-05-08T22:28:06+00:00,2024-12-24T20:40:43+00:00,v1.6.0,0,4923,1230,47,39,"{""ci"":{""value"":true,""source"":""file: .github/workflows/main.yml""},""auth"":{""value"":true,""source"":""dependency: next-auth""},""i18n"":{""value"":true,""source"":""dependency: react-i18next""},""admin"":{""value"":false,""source"":""not found in repo tree or manifests""},""roles"":{""value"":true,""source"":""file: lib/permissions.ts""},""teams"":{""value"":true,""source"":""dependency: @boxyhq/saml-jackson""},""tests"":{""value"":true,""source"":""dependency: jest""},""billing"":{""value"":true,""source"":""dependency: stripe""},""blog_cms"":{""value"":false,""source"":""not found in repo tree or manifests""},""webhooks"":{""value"":true,""source"":""dependency: svix""},""file_uploads"":{""value"":false,""source"":""not found in repo tree or manifests""},""social_login"":{""value"":true,""source"":""file: pages/api/oauth/authorize.ts""},""background_jobs"":{""value"":false,""source"":""not found in repo tree or manifests""},""transactional_email"":{""value"":true,""source"":""dependency: nodemailer""}}",Community Discord / Slack,https://github.com/boxyhq/saas-starter-kit#readme,,readme,hands_on,true,false,https://github.com/boxyhq.png?size=160,🔥 Enterprise SaaS Starter Kit - Kickstart your enterprise app development with the Next.js SaaS boilerplate 🚀,https://github.com/boxyhq/saas-starter-kit,,,,,2026-09-04T05:40:17.598+00:00
bullet-train,Bullet Train,Bullet Train,https://bullettrain.co,,https://bullettrain.co/docs,bullet-train-co/bullet_train,Rails,"[""rails"",""ruby"",""postgres"",""stripe"",""hotwire""]",MIT,https://github.com/bullet-train-co/bullet_train,true,free,0,0,,,[],false,2026-08-16T06:16:58+00:00,2026-05-06T17:45:57+00:00,v1.45.1,20,1885,304,96,65,"{""ci"":{""value"":true,""source"":""file: .github/workflows/_build_docker_image.yml""},""auth"":{""value"":true,""source"":""dependency: devise""},""i18n"":{""value"":true,""source"":""file: config/locales/en/application.en.yml""},""admin"":{""value"":false,""source"":""not found in repo tree or manifests""},""roles"":{""value"":true,""source"":""file: config/initializers/permissions_policy.rb""},""teams"":{""value"":true,""source"":""file: app/avo/resources/team.rb""},""tests"":{""value"":true,""source"":""file: config/environments/test.rb""},""billing"":{""value"":true,""source"":""file: config/locales/en/billing/products.en.yml""},""blog_cms"":{""value"":true,""source"":""file: config/initializers/content_security_policy.rb""},""webhooks"":{""value"":true,""source"":""file: test/system/super_scaffolding/webhook/setup.rb""},""file_uploads"":{""value"":true,""source"":""file: config/storage.yml""},""social_login"":{""value"":true,""source"":""file: app/controllers/account/oauth/omniauth_callbacks_controller.rb""},""background_jobs"":{""value"":true,""source"":""dependency: sidekiq""},""transactional_email"":{""value"":true,""source"":""file: app/mailers/application_mailer.rb""}}",Community Discord / Slack,https://github.com/bullet-train-co/bullet_train#readme,37,site,hands_on,true,false,https://github.com/bullet-train-co.png?size=160,The Open Source Ruby on Rails SaaS Template,https://github.com/bullet-train-co/bullet_train,,,,,2026-09-04T05:41:10.71+00:00
chadnext,ChadNext,Moinul Moin,https://chadnext.moinulmoin.com,,,moinulmoin/chadnext,Next.js,"[""nextjs"",""react"",""prisma"",""postgres"",""lucia""]",MIT,https://github.com/moinulmoin/chadnext,true,free,0,0,,,[],false,2025-12-18T12:25:16+00:00,2024-11-23T09:30:33+00:00,v1.7.0,0,1322,135,17,9,"{""ci"":{""value"":false,""source"":""not found in repo tree or manifests""},""auth"":{""value"":true,""source"":""file: src/app/api/auth/login/github/callback/route.ts""},""i18n"":{""value"":true,""source"":""file: src/locales/client.ts""},""admin"":{""value"":false,""source"":""not found in repo tree or manifests""},""roles"":{""value"":false,""source"":""not found in repo tree or manifests""},""teams"":{""value"":false,""source"":""not found in repo tree or manifests""},""tests"":{""value"":false,""source"":""not found in repo tree or manifests""},""billing"":{""value"":true,""source"":""dependency: stripe""},""blog_cms"":{""value"":true,""source"":""dependency: velite""},""webhooks"":{""value"":true,""source"":""file: src/app/api/webhooks/stripe/route.ts""},""file_uploads"":{""value"":true,""source"":""dependency: uploadthing""},""social_login"":{""value"":false,""source"":""not found in repo tree or manifests""},""background_jobs"":{""value"":false,""source"":""not found in repo tree or manifests""},""transactional_email"":{""value"":true,""source"":""dependency: resend""}}",GitHub issues,https://github.com/moinulmoin/chadnext/issues,,none,hands_on,true,false,https://github.com/moinulmoin.png?size=160,"ChadNext - Quick Starter Template for your Next project includes Next.js 15 App router, Shadcn UI, LuciaAuth, Prisma, Server Actions, Stripe, Internationalization and more.",https://github.com/moinulmoin/chadnext,,,,,2026-09-04T05:40:33.107+00:00
cookiecutter-django,Cookiecutter Django,Cookiecutter,https://cookiecutter-django.readthedocs.io,,https://github.com/cookiecutter/cookiecutter-django/tree/main/docs,cookiecutter/cookiecutter-django,Django,"[""django"",""python"",""postgres"",""celery"",""docker""]",BSD-3-Clause,https://github.com/cookiecutter/cookiecutter-django,true,free,0,0,,,[],false,2026-09-04T02:21:15+00:00,2026-09-04T02:21:18+00:00,2026.9.3,100,13605,3069,101,100,"{""ci"":{""value"":true,""source"":""file: .github/workflows/align-versions.yml""},""auth"":{""value"":false,""source"":""not found in repo tree or manifests""},""i18n"":{""value"":false,""source"":""not found in repo tree or manifests""},""admin"":{""value"":true,""source"":""file: {{cookiecutter.project_slug}}/{{cookiecutter.project_slug}}/users/admin.py""},""roles"":{""value"":false,""source"":""not found in repo tree or manifests""},""teams"":{""value"":true,""source"":""file: {{cookiecutter.project_slug}}/.idea/workspace.xml""},""tests"":{""value"":true,""source"":""dependency: pytest""},""billing"":{""value"":false,""source"":""not found in repo tree or manifests""},""blog_cms"":{""value"":false,""source"":""not found in repo tree or manifests""},""webhooks"":{""value"":false,""source"":""not found in repo tree or manifests""},""file_uploads"":{""value"":true,""source"":""file: {{cookiecutter.project_slug}}/compose/production/aws/maintenance/upload""},""social_login"":{""value"":false,""source"":""not found in repo tree or manifests""},""background_jobs"":{""value"":true,""source"":""file: {{cookiecutter.project_slug}}/compose/local/django/celery/worker/start""},""transactional_email"":{""value"":false,""source"":""not found in repo tree or manifests""}}",Community Discord / Slack,https://github.com/cookiecutter/cookiecutter-django#readme,3,site,documented,true,false,https://github.com/cookiecutter.png?size=160,Cookiecutter Django is a framework for jumpstarting production-ready Django projects quickly.,https://github.com/cookiecutter/cookiecutter-django,,,,,2026-09-04T05:41:17.391+00:00
create-t3-turbo,create-t3-turbo,t3-oss,https://github.com/t3-oss/create-t3-turbo,,https://github.com/t3-oss/create-t3-turbo#readme,t3-oss/create-t3-turbo,Next.js,"[""nextjs"",""react"",""trpc"",""drizzle"",""turborepo"",""expo""]",MIT,https://github.com/t3-oss/create-t3-turbo,true,free,0,0,,,[],false,2025-12-12T02:00:04+00:00,,,0,6105,564,62,100,"{""ci"":{""value"":true,""source"":""file: .github/workflows/ci.yml""},""auth"":{""value"":true,""source"":""dependency: better-auth""},""i18n"":{""value"":false,""source"":""not found in repo tree or manifests""},""admin"":{""value"":false,""source"":""not found in repo tree or manifests""},""roles"":{""value"":false,""source"":""not found in repo tree or manifests""},""teams"":{""value"":false,""source"":""not found in repo tree or manifests""},""tests"":{""value"":false,""source"":""not found in repo tree or manifests""},""billing"":{""value"":false,""source"":""not found in repo tree or manifests""},""blog_cms"":{""value"":true,""source"":""file: apps/nextjs/src/app/_components/posts.tsx""},""webhooks"":{""value"":false,""source"":""not found in repo tree or manifests""},""file_uploads"":{""value"":false,""source"":""not found in repo tree or manifests""},""social_login"":{""value"":false,""source"":""not found in repo tree or manifests""},""background_jobs"":{""value"":false,""source"":""not found in repo tree or manifests""},""transactional_email"":{""value"":false,""source"":""not found in repo tree or manifests""}}",GitHub issues,https://github.com/t3-oss/create-t3-turbo/issues,,readme,hands_on,true,false,https://github.com/t3-oss.png?size=160,Clean and simple starter repo using the T3 Stack along with Expo React Native,https://github.com/t3-oss/create-t3-turbo,,,,,2026-09-04T05:40:36.79+00:00
divjoy,Divjoy,Divjoy,https://divjoy.com,https://divjoy.com/pricing,,,Next.js,"[""nextjs"",""react"",""firebase"",""supabase"",""stripe""]",Proprietary (vendor licence),https://divjoy.com/,false,unknown,,,,2026-09-04T05:41:46.066+00:00,[],false,,,,,,,,,"{""ci"":{""value"":false,""source"":""not claimed on https://divjoy.com/""},""auth"":{""value"":true,""source"":""vendor page \""authentication\"" — https://divjoy.com/""},""i18n"":{""value"":false,""source"":""not claimed on https://divjoy.com/""},""admin"":{""value"":false,""source"":""not claimed on https://divjoy.com/""},""roles"":{""value"":false,""source"":""not claimed on https://divjoy.com/""},""teams"":{""value"":false,""source"":""not claimed on https://divjoy.com/""},""tests"":{""value"":false,""source"":""not claimed on https://divjoy.com/""},""billing"":{""value"":true,""source"":""vendor page \""stripe\"" — https://divjoy.com/""},""blog_cms"":{""value"":false,""source"":""not claimed on https://divjoy.com/""},""webhooks"":{""value"":true,""source"":""vendor page \""webhook\"" — https://divjoy.com/""},""file_uploads"":{""value"":false,""source"":""not claimed on https://divjoy.com/""},""social_login"":{""value"":false,""source"":""not claimed on https://divjoy.com/""},""background_jobs"":{""value"":false,""source"":""not claimed on https://divjoy.com/""},""transactional_email"":{""value"":false,""source"":""not claimed on https://divjoy.com/""}}",Private Discord community,https://divjoy.com/,,none,documented,true,false,https://divjoy.com/static/images/favicon/favicon-16x16.png,Divjoy helps you create the perfect codebase and UI for your next React project.,https://divjoy.com/,,,,,2026-09-04T05:41:45.878+00:00
gravity,Gravity,Usegravity,https://usegravity.app,https://usegravity.app/pricing,https://docs.usegravity.app,,Node.js,"[""react"",""nodejs"",""express"",""stripe"",""mysql""]",Proprietary (vendor licence),https://usegravity.app/pricing/,false,mixed,195,250,"…hours saved 1 Year of Updates Github access with continuous updates for the first year, renew for only $195/yr thereafter. Last updated 3 days ago Need a feature not listed? Get a custom feature — or have…",2026-09-04T05:41:46.474+00:00,"[{""value"":195,""source"":""https://usegravity.app/"",""context"":""…hours saved 1 Year of Updates Github access with continuous updates for the first year, renew for only $195/yr thereafter. Last updated 3 days ago Need a feature not listed? Get a custom feature — or have…""},{""value"":250,""source"":""https://usegravity.app/"",""context"":""…that, you can subscribe to another 12 months for $195/yr when renewing before your plan expires and $250/yr after it expires. There is no need to re-purchase new versions. How are updates delivered? You…""}]",false,,,,,,,,,"{""ci"":{""value"":false,""source"":""not claimed on https://usegravity.app/pricing/""},""auth"":{""value"":true,""source"":""vendor page \""authentication\"" — https://usegravity.app/pricing/""},""i18n"":{""value"":false,""source"":""not claimed on https://usegravity.app/pricing/""},""admin"":{""value"":true,""source"":""vendor page \""admin dashboard\"" — https://usegravity.app/pricing/""},""roles"":{""value"":true,""source"":""vendor page \""role\"" — https://usegravity.app/pricing/""},""teams"":{""value"":true,""source"":""vendor page \""team\"" — https://usegravity.app/pricing/""},""tests"":{""value"":false,""source"":""not claimed on https://usegravity.app/pricing/""},""billing"":{""value"":true,""source"":""vendor page \""stripe\"" — https://usegravity.app/pricing/""},""blog_cms"":{""value"":true,""source"":""vendor page \""blog\"" — https://usegravity.app/pricing/""},""webhooks"":{""value"":false,""source"":""not claimed on https://usegravity.app/pricing/""},""file_uploads"":{""value"":true,""source"":""vendor page \""file upload\"" — https://docs.usegravity.app/""},""social_login"":{""value"":false,""source"":""not claimed on https://usegravity.app/pricing/""},""background_jobs"":{""value"":true,""source"":""vendor page \""background job\"" — https://docs.usegravity.app/""},""transactional_email"":{""value"":true,""source"":""vendor page \""transactional email\"" — https://usegravity.app/pricing/""}}",Private Discord community,https://usegravity.app/pricing/,72,site,documented,true,false,https://usegravity.app/favicon.svg,"Price plans for every stage, from starter to custom.",https://usegravity.app/pricing/,,,,,2026-09-04T05:41:46.066+00:00
