service_slug,plan_slug,name,rank,base_monthly_usd,price_status,included,restrictions,notes,source_url,probes,check_status,verified_at,last_checked_at,last_check_note
auth0,free,Free,0,0,published,"{""mau"":25000}",{},Includes one enterprise connection and self-service SSO.,https://auth0.com/pricing,"[""Up to 25,000 monthly active users""]",verified,2026-09-04T06:20:14.069+00:00,2026-09-04T06:20:14.069+00:00,
auth0,essentials,Essentials,1,35,published,"{""mau"":500}",{},The $35 is the base at 500 MAU. Above that the price comes from a slider on the pricing page rather than a published table.,https://auth0.com/pricing,"[""$35 / month"",""Up to 500 monthly active users""]",verified,2026-09-04T06:20:14.194+00:00,2026-09-04T06:20:14.194+00:00,
auth0,professional,Professional,2,240,published,"{""mau"":500}",{},Same slider caveat as Essentials — $240 is the 500-MAU base.,https://auth0.com/pricing,"[""$240 / month"",""Up to 500 monthly active users""]",verified,2026-09-04T06:20:14.318+00:00,2026-09-04T06:20:14.318+00:00,
better-auth,self-hosted,Self-hosted,0,0,published,"{""mau"":null}",{},"MIT-licensed library. There is no auth bill — users live in the database you already pay for, so the cost shows up on the database line instead.",https://www.better-auth.com/docs/introduction,"[""Better Auth""]",verified,2026-09-04T06:20:13.947+00:00,2026-09-04T06:20:13.947+00:00,
clerk,free,Free,0,0,published,"{""mau"":50000}",{},"Hard cap at 50,000 monthly active users, with Clerk branding on the components.",https://clerk.com/pricing,"[""50,000 MRU limit per app""]",verified,2026-09-04T06:20:13.578+00:00,2026-09-04T06:20:13.578+00:00,
clerk,pro,Pro,1,25,published,"{""mau"":50000}",{},"$25/mo billed monthly, $20/mo billed annually. Removes Clerk branding.",https://clerk.com/pricing,"[""$25/mo"",""$0.02/mo each"",""$0.018/mo each"",""$0.015/mo each"",""$75/mo each""]",verified,2026-09-04T06:20:13.7+00:00,2026-09-04T06:20:13.7+00:00,
clerk,enhanced-b2b,Pro + Enhanced B2B,2,125,published,"{""mau"":50000}",{},Pro plus the $100/mo Enhanced B2B SaaS add-on ($85/mo billed annually).,https://clerk.com/pricing,"[""$100 /mo"",""$1/mo each""]",verified,2026-09-04T06:20:13.823+00:00,2026-09-04T06:20:13.823+00:00,
cloudflare-workers,free,Workers Free,0,0,published,"{""req_1m"":3}",{},"100,000 requests a day, with a 10ms CPU ceiling per invocation.",https://developers.cloudflare.com/workers/platform/pricing/,"[""Free""]",verified,2026-09-04T06:20:18.722+00:00,2026-09-04T06:20:18.722+00:00,
cloudflare-workers,paid,Workers Paid,1,5,published,"{""req_1m"":10,""cpu_ms_m"":30}",{},No charge for egress or bandwidth at any volume — the reason a bandwidth-heavy app lands here.,https://developers.cloudflare.com/workers/platform/pricing/,"[""$5.00"",""+$0.30 per additional million"",""+$0.02 per additional million CPU milliseconds""]",verified,2026-09-04T06:20:18.852+00:00,2026-09-04T06:20:18.852+00:00,
convex,starter,Starter,0,0,published,"{""db_gb"":0.5,""inv_1m"":1,""egress_gb"":1,""storage_gb"":1}",{},Free tier with hard caps rather than overage billing.,https://www.convex.dev/pricing,"[""1M included"",""0.5 GB included""]",verified,2026-09-04T06:20:12.065+00:00,2026-09-04T06:20:12.065+00:00,
convex,professional,Professional,1,25,published,"{""db_gb"":50,""seats"":1,""inv_1m"":25,""egress_gb"":50,""storage_gb"":100}",{},"Priced per developer seat, then usage on top.",https://www.convex.dev/pricing,"[""$25 per developer/month"",""$2 per additional 1M"",""$0.20 per additional GB""]",verified,2026-09-04T06:20:12.194+00:00,2026-09-04T06:20:12.194+00:00,
creem,standard,Standard,0,0,usage_only,{},{},"One rate for everything, no monthly fee.",https://www.creem.io/pricing,"[""3.9%"",""+ $0.40 per txn""]",verified,2026-09-04T06:20:16.25+00:00,2026-09-04T06:20:16.25+00:00,
