slug,name,tagline,description,website_url,website_host,repo_url,demo_url,video_url,logo_url,category_slug,built_with,human_edited,pricing,maker_handle,launch_date,launch_slot,launched_at,featured,upvote_count,badge_found_at,badge_last_checked_at,badge_http_status
civicbinder,CivicBinder,"ADA Title II digital accessibility, done for you","ADA Title II digital accessibility, done for you — a binder of evidence and remediation instead of a legal scramble.",https://civicbinder.org,civicbinder.org,,,,https://civicbinder.org/favicon.svg,,"[""claude-code""]",unsaid,paid,kyisaiah47,2026-08-15,1,2026-08-15T00:00:00+00:00,false,0,,2026-09-02T12:15:04.645+00:00,200
civicbinder-health,CivicBinder Health,"A flat-fee readiness binder that brings your website, patient portal, and documents to WCAG 2.1 AA…","A flat-fee readiness binder that brings your website, patient portal, and documents to WCAG 2.1 AA before the federal Section 1557 deadline.",https://health.civicbinder.org,health.civicbinder.org,,,,https://health.civicbinder.org/favicon.svg,health-fitness,"[""claude-code""]",unsaid,paid,kyisaiah47,2026-08-15,2,2026-08-15T00:00:00+00:00,false,0,,2026-09-02T12:15:05.897+00:00,200
covercheck,CoverCheck,"CoverCheck reads each vendor's certificate of insurance, checks the limits and endorsements…","CoverCheck reads each vendor's certificate of insurance, checks the limits and endorsements against your requirements, flags what's short or expiring, and chases the agent for the renewal — with you approving every email.",https://covercheck.kynth.studio,covercheck.kynth.studio,,,,https://covercheck.kynth.studio/favicon.svg,saas-business,"[""claude-code""]",unsaid,paid,kyisaiah47,2026-08-15,3,2026-08-15T00:00:00+00:00,false,0,,2026-09-02T12:15:04.385+00:00,200
dosetrace,DoseTrace,FDA extended the small-dispenser exemption to 27 November 2027.,"FDA extended the small-dispenser exemption to 27 November 2027 on 6 August 2026, and takes the 25-employee headcount on 27 November 2026. DoseTrace prepares the nine-document DSCSA readiness binder for independent pharmacies — $499 flat, from a 15-minute intake. Check your exemption status free.",https://dosetrace.kynth.studio,dosetrace.kynth.studio,,,,https://dosetrace.kynth.studio/favicon.svg,,"[""claude-code""]",unsaid,paid,kyisaiah47,2026-08-15,4,2026-08-15T00:00:00+00:00,false,0,,2026-09-02T12:15:04.895+00:00,200
fetchdue,FetchDue,Invoice chasing software for agencies.,"Invoice chasing software for agencies. FetchDue chases overdue invoices from your own mailbox, reads the replies and drafts the follow-up. From $29/mo.",https://fetchdue.kynth.studio,fetchdue.kynth.studio,,,,https://fetchdue.kynth.studio/favicon.svg,,"[""claude-code""]",unsaid,paid,kyisaiah47,2026-08-15,5,2026-08-15T00:00:00+00:00,false,0,,2026-09-02T12:15:04.12+00:00,200
front-wire,Front Wire,The Front Wire is an automated breaking-news wire.,"The Front Wire is an automated breaking-news wire. We watch primary, public sources — the USGS, the National Weather Service, SEC filings and the major newswires — and post each story the moment it breaks, every item linked to its source. No spin, no filler.",https://frontwire.kynth.studio,frontwire.kynth.studio,,,,https://frontwire.kynth.studio/favicon.svg,,"[""claude-code""]",unsaid,paid,kyisaiah47,2026-08-15,6,2026-08-15T00:00:00+00:00,false,0,,2026-09-02T12:15:03.533+00:00,200
agentwire,Agentwire,"MCP servers, coding-agent harnesses and agent frameworks, indexed.","MCP servers, coding-agent harnesses and agent frameworks, indexed. Every entry is something the Agentwire accounts posted, credited to whoever built it.",https://agentwire.kynth.studio,agentwire.kynth.studio,,,,https://agentwire.kynth.studio/favicon.svg,agents-automation,"[""claude-code""]",unsaid,,kyisaiah47,2026-08-16,1,2026-08-16T00:00:00+00:00,false,0,,2026-09-02T12:15:02.853+00:00,200
benchfile,BenchFile,"We find your building's open Local Law 84 benchmarking violation, file the overdue report, and…","We find your building's open Local Law 84 benchmarking violation, file the overdue report, and keep you compliant every year.",https://benchfile.kynth.studio,benchfile.kynth.studio,,,,https://benchfile.kynth.studio/favicon.svg,data-analytics,"[""claude-code""]",unsaid,paid,kyisaiah47,2026-08-16,2,2026-08-16T00:00:00+00:00,false,0,,2026-09-02T12:15:03.119+00:00,200
blockdex,BlockDex,Item-level search across every public shadcn registry.,"Item-level search across every public shadcn registry. Find the component, not the library — with its install command, its dependencies, whether it is free, and whether it still exists.",https://blockdex.kynth.studio,blockdex.kynth.studio,,,,https://blockdex.kynth.studio/favicon.svg,developer-tools,"[""claude-code""]",unsaid,,kyisaiah47,2026-08-16,3,2026-08-16T00:00:00+00:00,false,0,,2026-09-02T12:15:06.245+00:00,200
breachprobe,BreachProbe,"Paste something you shipped with Lovable, Bolt, v0 or Supabase for a free security score.","Paste something you shipped with Lovable, Bolt, v0 or Supabase for a free security score. BreachProbe reads the JavaScript you already serve the public — then, in the full report, signs up two throwaway users and checks whether one can read the other’s rows.",https://breachprobe.kynth.studio,breachprobe.kynth.studio,,,,https://breachprobe.kynth.studio/favicon.svg,,"[""claude-code""]",unsaid,paid,kyisaiah47,2026-08-16,4,2026-08-16T00:00:00+00:00,false,0,,2026-09-02T12:15:05.66+00:00,200
