slug,name,layer,vendor,homepage,pricing_url,docs_url,github_full_name,openrouter_app_slug,status,status_note,status_changed_on,acquired_by,default_model,default_model_note,byo_key,open_source,license,pricing_model,description,tags,gh_stars,gh_forks,gh_archived,gh_pushed_at,gh_days_since_push,gh_maintenance,gh_dead,gh_star_delta_30d,or_rank,or_tokens_week,last_pricing_check,last_change_at,curated_on
a0-dev,a0.dev,mobile,a0,https://a0.dev,https://a0.dev,https://a0.dev,,,active,,,,,,false,false,,credits,Mobile-first prompt-to-app builder. No public usage data.,"[""mobile""]",,,,,,,,,,,2026-09-04T09:50:41.791+00:00,,2026-08-02
aider,Aider,cli_agent,Aider AI,https://aider.chat,https://aider.chat,https://aider.chat/docs,Aider-AI/aider,aider,active,,,,,"Bring-your-own key, any provider.",true,true,Apache-2.0,free,"The original git-native terminal pair programmer. Bring-your-own-key, no subscription.","[""terminal"",""git"",""open-source"",""byo-key""]",48731,4920,false,2026-05-22T14:02:20+00:00,104,55,false,873,,,2026-09-04T09:50:30.225+00:00,2026-09-02T09:51:39.069+00:00,2026-08-02
amp,Amp,cli_agent,Sourcegraph,https://ampcode.com,https://ampcode.com/pricing,https://ampcode.com/manual,,,active,,,,,Sourcegraph selects the model; billing is zero-markup pass-through rather than a seat price.,false,false,,usage,"Sourcegraph's agent, sold as zero-markup pay-as-you-go with a free tier.","[""terminal"",""agent"",""usage-based""]",,,,,,,,,,,2026-09-04T09:50:30.882+00:00,2026-08-18T09:51:09.88+00:00,2026-08-02
augment-code,Augment Code,ide_extension,Augment,https://augmentcode.com,https://augmentcode.com/pricing,https://docs.augmentcode.com,,,active,,,,,,false,false,,subscription,Context-engine-led IDE agent aimed at large existing codebases.,"[""vscode"",""jetbrains"",""enterprise""]",,,,,,,,,,,2026-09-04T09:50:35.338+00:00,2026-09-03T09:51:08.196+00:00,2026-08-02
base44,Base44,app_builder,Wix,https://base44.com,https://base44.com/pricing,https://docs.base44.com,,,acquired,"Acquired by Wix in 2025. Unlike most acquisitions in this category it kept growing after the deal — Wix put Base44 at roughly $150M ARR as of May 2026 in its own Q1 2026 results, and its Q2 2026 results (released 4 August 2026) still credit ""strong Base44 performance"" for group revenue up 15% year on year — so ""acquired"" here does not mean ""avoid"".",2025-06-18,Wix,Base 1,"Wix announced it in its Q2 2026 results, released 4 August 2026: ""Base44 becomes first app-creation platform to launch proprietary LLM — Base 1"", which Wix says gives it ""greater direct control over the largest cost driver in AI-native businesses, compute and inference spend"" and takes Base44 from near-zero to roughly 60% non-GAAP gross margin in the second half. Wix does not publish which model serves an individual generation, so read this as the model the product now runs on rather than a per-request guarantee.",false,false,,credits,"Prompt-to-app builder, now a Wix property, which Wix reported at roughly $150M ARR as of May 2026.","[""no-code"",""credits"",""acquired""]",,,,,,,,,,,2026-09-04T09:50:37.635+00:00,2026-09-04T09:51:10.893+00:00,2026-08-09
bolt-new,Bolt.new,app_builder,StackBlitz,https://bolt.new,https://bolt.new/pricing,https://support.bolt.new,stackblitz/bolt.new,,stalled,"Reached roughly $40M ARR in five months, then published no comparable 2026 milestone while Lovable kept compounding. Recorded as stalled on public momentum, not as dead.",,,,,false,true,MIT,credits,In-browser prompt-to-app builder with native Stripe and Supabase wiring.,"[""no-code"",""credits"",""stackblitz""]",16536,14797,false,2024-12-17T06:29:27+00:00,626,12,true,52,,,2026-09-04T09:50:38.196+00:00,2026-08-20T09:51:11.139+00:00,2026-08-02
claude-code,Claude Code,cli_agent,Anthropic,https://claude.com/claude-code,https://claude.com/pricing,https://code.claude.com/docs/en/overview,anthropics/claude-code,claude-code,active,,,,anthropic/claude-opus-4.8,Bundled with the Claude subscription; also usable with an API key or through a gateway.,true,false,,subscription,Anthropic's terminal coding agent. The highest-adoption CLI agent by developer survey share.,"[""terminal"",""agent"",""anthropic"",""subscription""]",144001,23015,false,2026-09-03T23:48:12+00:00,0,94,false,4101,5,4090505804474,2026-09-04T09:50:24.707+00:00,2026-09-04T09:51:10.893+00:00,2026-08-02
cline,Cline,ide_extension,Cline,https://cline.bot,https://cline.bot/pricing,https://docs.cline.bot,cline/cline,cline,active,,,,,Bring-your-own key. Its real model mix is visible in OpenRouter usage rather than in any announcement.,true,true,Apache-2.0,free,"The bring-your-own-key VS Code agent extension. Users pay providers directly, not Cline.","[""vscode"",""byo-key"",""open-source""]",67451,7279,false,2026-09-04T09:18:36+00:00,0,100,false,2062,7,2642242835121,2026-09-04T09:50:34.024+00:00,2026-08-29T09:51:10.476+00:00,2026-08-02
codex-cli,OpenAI Codex CLI,cli_agent,OpenAI,https://openai.com/codex,https://openai.com/chatgpt/pricing,https://learn.chatgpt.com/docs/codex/cli,openai/codex,codex,active,,,,openai/gpt-5.5,Bundled with ChatGPT plans; a dedicated higher tier exists for heavy usage.,true,true,Apache-2.0,subscription,"OpenAI's open-source terminal coding agent, distributed through ChatGPT subscriptions.","[""terminal"",""agent"",""openai"",""open-source""]",121420,18597,false,2026-09-04T06:16:36+00:00,0,100,false,18334,12,963689051448,2026-09-04T09:50:25.551+00:00,,2026-08-02
codex-cloud,Codex cloud tasks,cloud_agent,OpenAI,https://openai.com/codex,https://openai.com/chatgpt/pricing,https://learn.chatgpt.com/docs/cloud,,,active,,,,openai/gpt-5.5,,false,false,,subscription,"Codex's hosted task runner, distributed through ChatGPT rather than sold separately.","[""cloud"",""openai""]",,,,,,,,,,,2026-09-04T09:50:32.095+00:00,,2026-08-02
