builder_slug,supports,claim,kind,source_url,source_title,source_date,quote,link_status,link_checked_at
a0-dev,submission,The team offers direct help getting an app released on the App Store; no automated submission is described.,third-party-report,https://bestofshowhn.com/yc-w25/a0.dev,a0.dev (YC W25) — React Native App Generator,2025-03-01,,,
a0-dev,output,Apps are previewed through Expo Go; unbundled native modules do not work in the preview.,third-party-report,https://bestofshowhn.com/yc-w25/a0.dev,a0.dev (YC W25) — React Native App Generator,2025-03-01,,,
a0-dev,pricing,"Paid plans run from $20/month (Pro) to $800/month (Pro 5000), with a separate Max tier at $200/month; the plan list carries no free tier.",vendor-marketing,https://a0.dev/pricing,Pricing — a0.dev,2026-09-04,"""name"":""Pro"",""slug"":""pro"",""limits"":{""daily"":100,""monthly"":100},""isActive"":true,""pricing"":[{""priceCents"":2000,""interval"":""month""},{""priceCents"":20400,""interval"":""year""}]} ... {""name"":""Pro 5000"",""slug"":""pro_5000"",""limits"":{""daily"":5000,""monthly"":5000},""pricing"":[{""priceCents"":80000,""interval"":""month""}]} ... {""name"":""Max"",""slug"":""max"",""limits"":{""daily"":1250,""monthly"":1250},""pricing"":[{""priceCents"":20000,""interval"":""month""},{""priceCents"":204000,""interval"":""year""}]}",,
adalo,review,"Adalo names guideline 4.2 minimum functionality, missing privacy policy links and generic metadata as the common rejection causes for its users.",vendor-doc,https://www.adalo.com/posts/fixes-common-app-store-rejections/,Top 5 Fixes for Common App Store Rejections — Adalo,2026-01-01,,,
adalo,review,Using a no-code tool to build an original app is acceptable; shipping a reskinned template is what 4.2.6 rejects.,apple-guideline,https://developer.apple.com/app-store/review/guidelines/,App Store Review Guidelines — 4.2.6,2026-08-01,"Apps created from a commercialized template or app generation service will be rejected unless they are submitted directly by the provider of the app's content. These services should not submit apps on behalf of their clients and should offer tools that let their clients create customized, innovative apps that provide unique customer experiences.",,
adalo,pricing,A free plan builds and tests but does not publish; App Store publishing starts at $36/month.,vendor-marketing,https://www.adalo.com/pricing,Pricing — Adalo,2026-08-13,"Plans start free for building and testing, with app store publishing from $36/month. … You can build and fully test your app on the Free plan first, then upgrade to Starter when you’re ready to publish",,
bolt-new,submission,The code must be downloaded and built outside Bolt.,vendor-doc,https://support.bolt.new/integrations/expo,Expo for mobile apps — Bolt Support,2026-08-01,"After building your app with Bolt, download the code and open it in a code editor such as VS Code.",,
bolt-new,submission,The build and submission are driven by the EAS CLI from your own environment.,vendor-doc,https://support.bolt.new/integrations/expo,Expo for mobile apps — Bolt Support,2026-08-01,Run this command: `eas build --platform ios --auto-submit`,,
bolt-new,submission,The final step is an ordinary App Store Connect submission by you.,vendor-doc,https://support.bolt.new/integrations/expo,Expo for mobile apps — Bolt Support,2026-08-01,Once you're happy with your app: 1. Go to App Store Connect. 2. Fill in your app's details. 3. Submit for App Store review.,,
bolt-new,pricing,Free tier at $0; Pro is $25/month billed monthly and Teams $30 per member.,vendor-marketing,https://bolt.new/pricing,Pricing — Bolt.new,2026-08-13,Free $0 … 300K tokens daily limit … Pro $25 per month billed monthly … Teams popular $30 per month and member billed monthly,,
catdoes,submission,"Imports a project by URL or GitHub, runs the EAS build, signs the binary and submits to both stores.",vendor-marketing,https://catdoes.com/blog/bolt-new-for-mobile-apps,Bolt.new for Mobile Apps: Native iOS & Android — CatDoes,2026-01-01,,,
catdoes,review,Submission on a client’s behalf is the arrangement 4.2.6 names.,apple-guideline,https://developer.apple.com/app-store/review/guidelines/,App Store Review Guidelines — 4.2.6,2026-08-01,"Apps created from a commercialized template or app generation service will be rejected unless they are submitted directly by the provider of the app's content. These services should not submit apps on behalf of their clients and should offer tools that let their clients create customized, innovative apps that provide unique customer experiences.",,
catdoes,pricing,Free tier is web-deploy only; Core is $17/month and iOS/Android deploys start on Starter at $42/month.,vendor-marketing,https://catdoes.com/pricing,Pricing — CatDoes,2026-08-13,Free … $0 /month 25 credits Deploy as a web app … Core For getting started $17 /month 50 credits/month … Starter For active builders $42 /month … iOS & Android deploys,,
draftbit,export,React Native source can be exported for custom development.,third-party-report,https://www.adalo.com/posts/draftbit-vs-flutterflow/,Draftbit vs. FlutterFlow vs. Adalo — Adalo,2026-01-01,,,
draftbit,pricing,"Free Forever tier at $0; Standard is $12/month, Pro $24 and Team $120.",vendor-marketing,https://draftbit.com/pricing,Pricing — Draftbit,2026-08-13,Free … $0 /month Free Forever 1 sandbox running at a time … Standard … $12 /month … Add editor seats for $8 /seat/mo … Pro … $24 /month … Team … $120 /month,,
expo-eas,output,Expo is the framework the majority of this catalogue compiles through.,vendor-doc,https://expo.dev/,Expo — Build native apps with React,2026-08-01,,,
expo-eas,pricing,Free tier capped at 15 iOS and 15 Android builds; Starter is $19/month plus usage with $45 of build credit.,vendor-marketing,https://expo.dev/pricing,Pricing — Expo,2026-08-13,Free $ 0 /month … 15 Android and 15 iOS builds … Starter $ 19 /month +additional usage cost … Includes: $45 of build credit … Production $ 199 /month +additional usage cost … $225 of build credit,,
