slug,name,homepage,registry_url,registry_source,repo_full_name,repo_url,description,license,gh_stars,gh_forks,gh_pushed_at,gh_days_since_push,maintenance,item_count,free_item_count,paid_item_count,access,docs_url,preview_embeddable,status,first_seen,last_seen,last_crawled_at,gone_on,notes
100xui,100xui,https://100xui.com,https://raw.githubusercontent.com/YashwantOstwal/100xUI/HEAD/registry.json,github,YashwantOstwal/100xUI,https://github.com/YashwantOstwal/100xUI,,,,,,,,14,14,0,free,https://100xui.com/components/parallax-cards,true,active,2026-08-01,2026-09-04,2026-09-04T08:17:12.945+00:00,,
1st-pouf,1st-pouf,https://1st-pouf.worksonmy.dev,https://1st-pouf.worksonmy.dev/r/registry.json,live,,,,,,,,,,71,71,0,free,https://1st-pouf.worksonmy.dev/examples/dashboard/,,active,2026-08-29,2026-09-04,2026-09-04T08:34:51.175+00:00,,
4bees-games-registry,4bees-games-registry,https://4bees-games.netlify.app,https://raw.githubusercontent.com/NikolaJankovic-dev/ce-svijet/main/public/r/registry.json,github,NikolaJankovic-dev/ce-svijet,https://github.com/NikolaJankovic-dev/ce-svijet,,,0,0,2025-11-24T10:20:35+00:00,284,26,2,0,0,unknown,,,active,2026-08-02,2026-09-04,2026-09-04T08:36:38.469+00:00,,
7ovr,7ovr,https://7ovr.com,https://7ovr.com/r/registry.json,live,,,,,,,,,,242,242,0,free,https://7ovr.com/templates/saas-landing,,active,2026-08-01,2026-09-04,2026-09-04T08:34:51.302+00:00,,
8bitcn,8bitcn,https://www.8bitcn.com,https://www.8bitcn.com/r/registry.json,live,TheOrcDev/8bitcn-ui,https://github.com/TheOrcDev/8bitcn-ui,,,,,,,,121,121,0,free,https://8bitcn.com/docs/blocks/gaming/chapter-intro,,active,2026-08-01,2026-09-04,2026-09-04T08:32:23.57+00:00,,
8starlabs-ui,8starlabs-ui,https://ui.8starlabs.com,https://ui.8starlabs.com/r/registry.json,live,,,,,,,,,,76,76,0,free,,,active,2026-08-01,2026-09-04,2026-09-04T08:32:27.122+00:00,,
98-ui,98.ui,https://98-ui.vercel.app,https://raw.githubusercontent.com/hidaviddong/98.ui/main/public/r/registry.json,github,hidaviddong/98.ui,https://github.com/hidaviddong/98.ui,98.ui is an collection of copy-and-paste components for building win98 style UIs. Powered by Tailwind CSS and React.,,6,0,2025-05-28T03:00:22+00:00,464,6,12,0,0,unknown,,,active,2026-08-01,2026-09-04,2026-09-04T08:28:44.469+00:00,,
9am,9am,https://github.com,https://raw.githubusercontent.com/ilovehugetits/9am-ui/main/registry.json,github,ilovehugetits/9am-ui,https://github.com/ilovehugetits/9am-ui,"The shared design language, NUI plumbing and FiveM CEF workarounds behind every 9AM Studios script — an open shadcn registry.",MIT,0,0,2026-09-01T06:34:05+00:00,3,94,84,0,0,unknown,,,active,2026-08-16,2026-09-04,2026-09-04T08:36:23.59+00:00,,
9ui,9ui,https://9ui.dev,https://9ui.dev/r/registry.json,live,borabaloglu/9ui,https://github.com/borabaloglu/9ui,"Beautiful, customizable components built with Base UI and Tailwind CSS.",MIT,666,23,2026-02-06T20:14:21+00:00,210,26,56,56,0,free,https://9ui.dev/docs/components/accordion,true,active,2026-08-01,2026-09-04,2026-09-04T08:25:34.312+00:00,,
abdelhamidaitayoub,abdelhamidaitayoub,https://abdelhamidaitayoub.com,https://raw.githubusercontent.com/abdelhamidaitayoub/rrradcn/main/registry.json,github,abdelhamidaitayoub/rrradcn,https://github.com/abdelhamidaitayoub/rrradcn,,,0,0,2026-03-19T18:17:46+00:00,169,49,1,0,0,unknown,,,active,2026-08-02,2026-09-04,2026-09-04T08:37:11.544+00:00,,
