slug,name,category,tagline,homepage_url,pricing_url,attrs,rank
clerk,Clerk,auth,Drop-in auth with pre-built React components and organisations.,https://clerk.com,https://clerk.com/pricing,"{""b2b_orgs"":true,""sso_addon"":true,""nextjs_sdk"":true,""self_hostable"":false,""own_your_users"":false}",1
stripe,Stripe,payments,"The default PSP. You stay the merchant, so sales tax and VAT stay yours.",https://stripe.com,https://stripe.com/pricing,"{""payouts"":""you"",""handles_vat"":false,""handles_sales_tax"":false,""merchant_of_record"":false}",1
supabase,Supabase,database,"Postgres with auth, storage and realtime bolted on.",https://supabase.com,https://supabase.com/pricing,"{""engine"":""postgres"",""open_source"":true,""bundles_auth"":true,""self_hostable"":true,""bundles_storage"":true}",1
vercel,Vercel,hosting,"The Next.js host. Zero-config, and the bill is entirely usage-shaped.",https://vercel.com,https://vercel.com/pricing,"{""runtime"":""serverless"",""free_tier"":true,""nextjs_first"":true,""byo_container"":false}",1
better-auth,Better Auth,auth,Open-source TypeScript auth that runs inside your own app and database.,https://www.better-auth.com,https://www.better-auth.com/docs/introduction,"{""b2b_orgs"":true,""sso_addon"":false,""nextjs_sdk"":true,""self_hostable"":true,""own_your_users"":true}",2
firebase,Firebase,database,"Google's document store, auth and functions on one bill.",https://firebase.google.com,https://firebase.google.com/pricing,"{""engine"":""document"",""open_source"":false,""bundles_auth"":true,""self_hostable"":false,""bundles_storage"":true}",2
netlify,Netlify,hosting,"The other Jamstack host, priced per member rather than per project.",https://www.netlify.com,https://www.netlify.com/pricing/,"{""runtime"":""serverless"",""free_tier"":true,""nextjs_first"":false,""byo_container"":false}",2
paddle,Paddle,payments,Merchant of record — Paddle is the seller and files the tax.,https://www.paddle.com,https://www.paddle.com/pricing,"{""payouts"":""paddle"",""handles_vat"":true,""handles_sales_tax"":true,""merchant_of_record"":true}",2
auth0,Auth0,auth,"The incumbent identity platform, now inside Okta.",https://auth0.com,https://auth0.com/pricing,"{""b2b_orgs"":true,""sso_addon"":true,""nextjs_sdk"":true,""self_hostable"":false,""own_your_users"":false}",3
lemon-squeezy,Lemon Squeezy,payments,"Merchant of record for digital products, now owned by Stripe.",https://www.lemonsqueezy.com,https://www.lemonsqueezy.com/pricing,"{""payouts"":""lemon-squeezy"",""handles_vat"":true,""handles_sales_tax"":true,""merchant_of_record"":true}",3
neon,Neon,database,Serverless Postgres that scales compute to zero and branches like git.,https://neon.com,https://neon.com/pricing,"{""engine"":""postgres"",""open_source"":true,""bundles_auth"":false,""self_hostable"":false,""bundles_storage"":false}",3
railway,Railway,hosting,"Containers billed by the second, with a database next to them.",https://railway.com,https://railway.com/pricing,"{""runtime"":""container"",""free_tier"":false,""nextjs_first"":false,""byo_container"":true}",3
planetscale,PlanetScale,database,Vitess-backed MySQL and Postgres with online schema changes.,https://planetscale.com,https://planetscale.com/pricing,"{""engine"":""mysql"",""open_source"":false,""bundles_auth"":false,""self_hostable"":false,""bundles_storage"":false}",4
polar,Polar,payments,"Merchant of record built for developers, with paid tiers that cut the rate.",https://polar.sh,https://polar.sh/docs/merchant-of-record/fees,"{""payouts"":""polar"",""handles_vat"":true,""handles_sales_tax"":true,""merchant_of_record"":true}",4
render,Render,hosting,Predictable instance sizes — the closest thing left to old Heroku.,https://render.com,https://render.com/pricing,"{""runtime"":""container"",""free_tier"":true,""nextjs_first"":false,""byo_container"":true}",4
workos,WorkOS,auth,AuthKit free to a million users; the money is in SSO and Directory Sync.,https://workos.com,https://workos.com/pricing,"{""b2b_orgs"":true,""sso_addon"":true,""nextjs_sdk"":true,""self_hostable"":false,""own_your_users"":false}",4
convex,Convex,database,"Reactive TypeScript backend — database, functions and realtime in one.",https://www.convex.dev,https://www.convex.dev/pricing,"{""engine"":""document"",""open_source"":true,""bundles_auth"":false,""self_hostable"":true,""bundles_storage"":true}",5
creem,Creem,payments,"Merchant of record at a flat 3.9%, aimed squarely at indie SaaS.",https://www.creem.io,https://www.creem.io/pricing,"{""payouts"":""creem"",""handles_vat"":true,""handles_sales_tax"":true,""merchant_of_record"":true}",5
fly-io,Fly.io,hosting,"Micro-VMs you place in specific regions, billed by the second.",https://fly.io,https://fly.io/docs/about/pricing/,"{""runtime"":""container"",""free_tier"":false,""nextjs_first"":false,""byo_container"":true}",5
stytch,Stytch,auth,Auth plus device fingerprinting and fraud tooling in the same SDK.,https://stytch.com,https://stytch.com/pricing,"{""b2b_orgs"":true,""sso_addon"":true,""nextjs_sdk"":true,""self_hostable"":false,""own_your_users"":false}",5
cloudflare-workers,Cloudflare Workers,hosting,Edge functions with no egress charge at all.,https://workers.cloudflare.com,https://developers.cloudflare.com/workers/platform/pricing/,"{""runtime"":""edge"",""free_tier"":true,""free_egress"":true,""nextjs_first"":false,""byo_container"":false}",6
dodo-payments,Dodo Payments,payments,Merchant of record covering 220+ countries at 4% + 40¢.,https://dodopayments.com,https://dodopayments.com/pricing,"{""payouts"":""dodo"",""handles_vat"":true,""handles_sales_tax"":true,""merchant_of_record"":true}",6
kinde,Kinde,auth,Auth with billing and feature flags bundled in.,https://kinde.com,https://kinde.com/pricing/,"{""b2b_orgs"":true,""sso_addon"":true,""nextjs_sdk"":true,""self_hostable"":false,""own_your_users"":false}",6
turso,Turso,database,"SQLite on the edge, one database per tenant without the bill exploding.",https://turso.tech,https://turso.tech/pricing,"{""engine"":""sqlite"",""open_source"":true,""bundles_auth"":false,""self_hostable"":true,""bundles_storage"":false}",6
digitalocean-app,DigitalOcean App Platform,hosting,Flat-rate app containers with a predictable monthly number.,https://www.digitalocean.com/products/app-platform,https://www.digitalocean.com/pricing/app-platform,"{""runtime"":""container"",""free_tier"":true,""nextjs_first"":false,""byo_container"":true}",7
gumroad,Gumroad,payments,"Merchant of record with a storefront attached, at a flat 10%.",https://gumroad.com,https://gumroad.com/pricing,"{""payouts"":""gumroad"",""handles_vat"":true,""handles_sales_tax"":true,""merchant_of_record"":true}",7
mongodb-atlas,MongoDB Atlas,database,Managed MongoDB with a genuinely free shared tier.,https://www.mongodb.com/atlas,https://www.mongodb.com/pricing,"{""engine"":""document"",""open_source"":true,""bundles_auth"":false,""self_hostable"":true,""bundles_storage"":false}",7
propelauth,PropelAuth,auth,B2B auth priced per user with org management built in.,https://www.propelauth.com,https://www.propelauth.com/pricing,"{""b2b_orgs"":true,""sso_addon"":true,""nextjs_sdk"":true,""self_hostable"":false,""own_your_users"":false}",7
upstash,Upstash,database,"Serverless Redis and Kafka billed per request, not per hour.",https://upstash.com,https://upstash.com/pricing,"{""engine"":""redis"",""open_source"":false,""bundles_auth"":false,""self_hostable"":false,""bundles_storage"":false}",8
